age,male,female
0,79.52,83.22
1,78.86,82.51
2,77.88,81.53
3,76.89,80.54
4,75.90,79.55
5,74.91,78.56
6,73.91,77.56
7,72.92,76.57
8,71.93,75.58
9,70.93,74.58
10,69.93,73.58
11,68.94,72.59
12,67.95,71.59
13,66.95,70.60
14,65.96,69.60
15,64.97,68.61
16,63.98,67.62
17,62.99,66.63
18,62.01,65.64
19,61.04,64.65
20,60.06,63.66
21,59.09,62.67
22,58.12,61.69
23,57.15,60.70
24,56.18,59.71
25,55.21,58.72
26,54.24,57.74
27,53.27,56.75
28,52.30,55.77
29,51.34,54.78
30,50.37,53.80
31,49.41,52.82
32,48.45,51.84
33,47.49,50.86
34,46.53,49.88
35,45.57,48.91
36,44.61,47.93
37,43.66,46.96
38,42.71,45.99
39,41.76,45.03
40,40.82,44.06
41,39.88,43.10
42,38.94,42.13
43,38.00,41.18
44,37.07,40.22
45,36.14,39.27
46,35.22,38.32
47,34.30,37.38
48,33.39,36.44
49,32.48,35.50
50,31.58,34.57
51,30.68,33.64
52,29.78,32.72
53,28.89,31.80
54,28.01,30.88
55,27.13,29.96
56,26.25,29.05
57,25.39,28.15
58,24.53,27.25
59,23.68,26.37
60,22.84,25.48
61,22.01,24.60
62,21.18,23.73
63,20.37,22.88
64,19.57,22.03
65,18.78,21.18
66,18.00,20.34
67,17.23,19.51
68,16.47,18.69
69,15.73,17.88
70,14.99,17.07
71,14.26,16.28
72,13.54,15.48
73,12.84,14.71
74,12.16,13.96
75,11.49,13.22
76,10.84,12.49
77,10.21,11.78
78,9.60,11.09
79,9.01,10.42
80,8.43,9.77
81,7.88,9.14
82,7.35,8.53
83,6.84,7.93
84,6.35,7.38
85,5.89,6.84
86,5.46,6.34
87,5.05,5.86
88,4.67,5.42
89,4.33,5.00
90,4.02,4.62
91,3.70,4.25
92,3.41,3.92
93,3.15,3.61
94,2.90,3.33
95,2.68,3.06
96,2.48,2.84
97,2.31,2.63
98,2.14,2.43
99,1.96,2.24
100,1.84,2.06